#,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote,polarity_score,sentiment_label
11,A2Q3ICGWZLY3JJ,B007WTAJTO,98020,"[0, 0]",work file writes bit slower expected usb read writes faster card inside sd adapter mb v write mb v mb read card reader cant figure,3,"It works, but not as fast as expected",1384905600,20-11-2013,383,0,0,0,neg
12,AN2VFTXYW1SZU,NONE,9z4cda,"[0, 0]",name speaks go sandisk go,5,A RENOUND NAME BRAND,1404432000,07-04-2014,245,0,0,0,neg
13,AVHN134ADVP4R,NONE,"A4Q96 ""Gadget Lover""","[0, 0]",solid sdhc card fast reading writing fast recording video pic great capacity reasonably priced issue itoverall highly recommend,5,Great SDHC card,1384992000,21-11-2013,382,0,0,0.8173,pos
14,A3EA7KGYC8LB0,NONE,"Aaron ""Aaron""","[0, 0]",heard card write speed insufficient however used extensively havent single problem,5,Use it for my GoPro Hero 3+ Black,1392595200,17-02-2014,294,0,0,0.3089,pos
15,A29RI184HRX66H,NONE,"Aaron ""Aaron""","[0, 0]",bought use go pro hero black edition requires class microsdxc card far ive issue fast readwrite came adapter small packaging thats needed come nice hard plastic case keep dry together needed,5,"Awesome price, great brand name",1357257600,01-04-2013,616,0,0,0.7184,pos
16,A2G9ZHVA6IOGBY,NONE,Aaron Alvarez,"[0, 0]",got gb one filled kept getting insufficient disk space phone kid take phone selfies mostly daughter get bigger card gb one carry old say sweet plenty space dont delete picture anymore well daughter love selfies,5,great price. fast,1393718400,03-02-2014,308,0,0,0.8519,pos
17,A1OATGH4DF0RF0,NONE,Aaron F. Virginie,"[0, 1]",class speed rating seamless full hd sandisk ultra uhsi card feature class uhs speed class u rating highest video performance available recording full hd app card retrieve stored data almost instantly thanks mb read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi card offer faster app loading smoother fluid app capacity card plenty room accommodate full hd video mp apps mobile file available size gb store apps music video app easy file included sandisk memory zone app let easily view access backup digital file phone memory additional memory card cloud service one convenient place using app easily move file card number cloud storage ultra uhsi memory card capture memory degree shockproof waterproof xrayproof design mobile device may survive sandisk memory card,5,Get Fast Load Times,1372896000,07-04-2013,610,0,1,0.8984,pos
18,A1V6CQACZ9IOLC,NONE,Aaron Graves,"[0, 0]",read write speed better samsung sd card previously would hesitate buy another one great micro sd card sandisk also clip plus mp player work well think im becoming fan sandisk product,5,Very good little Micro SD card,1398988800,05-02-2014,306,0,0,0.8519,pos
19,A2ELBSIZ26GKM2,NONE,Aaron,"[0, 0]",work video stuttering like gb blah blah blah blah fill rest,5,works,1389052800,01-07-2014,160,0,0,-0.34,neg
20,A6AL9BZ0JALUP,B007WTAJTO,Aaron,"[0, 0]",work expected high transfer speed nice extra microsd adapter lying around since always seem misplace mainly bought use nikon dslr since put card directly cm nook hd tablet field view image larger screen,5,Works,1382832000,27-10-2013,407,0,0,-0.1531,neg
21,A80SHWURCS1KD,B007WTAJTO,Aaron,"[0, 0]",work great samsung galaxy formatted straight away full size cant really tell speed difference one slower card replaced guess io phone cant take advantage,5,Good with Galaxy S3,1388275200,29-12-2013,344,0,0,0.644,pos
22,ATSVUBE2115N1,B007WTAJTO,Aaron Madden,"[0, 0]",sandisk never always sandisk product worth every penny nice product quality work great recommend product everyone,5,Never disappoints,1383609600,11-05-2013,576,0,0,0.8834,pos
23,A3R54B4AFAV3PD,B007WTAJTO,aaron mckaig,"[0, 0]",good price work flawless samsung normal sandisk quality go brand brand,5,Great,1396569600,04-04-2014,248,0,0,0.7351,pos
24,A243XIFG20QRQW,B007WTAJTO,Aaron Nash,"[0, 0]",san disk hard beat pay brand get quality product would purchase,5,Perfect,1395532800,23-03-2014,260,0,0,-0.2023,neg
25,A9DQ4Q5LPUCYJ,B007WTAJTO,Aaron Smith,"[0, 0]",installed blackberry q formatted work fine plenty storage space picture video son,5,It does the job.,1390867200,28-01-2014,314,0,0,0.2023,pos
26,A1U9QJQW3XPRL2,B007WTAJTO,Aaron T. Swain,"[1, 2]",received card class gb correct received unopened sandisk packaging going use htc rezound hope work read work reformatting disk update review issue using rating remain,5,64 GB,1343260800,26-07-2012,865,1,2,0.4404,pos
27,A3PIINTTBEA5C3,B007WTAJTO,A. Atkinson,"[0, 0]",stuck formatted setting work great already filled music pic video get card format right youll problem phone wont right got samsung haha,5,Perfect and Fast in my S2!!,1353456000,21-11-2012,747,0,0,0.5267,pos
28,A2U4VW7FAB7W9A,B007WTAJTO,ABailey8833,"[1, 1]",purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meet need,5,Great product!,1356652800,28-12-2012,710,1,1,0.8591,pos
29,ADAVEDQ2BK3XE,B007WTAJTO,abbadon,"[0, 0]",advertised spec match long device using handle ie usb b delivers advertised speed p speed read write knew right,5,Works.,1382659200,25-10-2013,409,0,0,0,neg
30,A25TM6Q7ROIR0Y,B007WTAJTO,ABC317,"[0, 0]",item great cant believe small imagine gb size back whole full computer couldnt pack much space great item,5,Great Product!!!,1381881600,16-10-2013,418,0,0,0.8481,pos
31,A2QVJ0I3RAQHTS,B007WTAJTO,Abdul Purnell Askew SR,"[0, 0]",ive trying get hold gb micro sd phone tablet pretty fast compared gb card ive using really saw performance boost phone many apps picture music document phone boot fully stable min min computer also write card much faster gb one using phone tablet device support recommend purchase also pay like half price using amazon opposed retail store who price least double ive seen card going area,5,Great Micro SD card,1365984000,15-04-2013,602,0,0,0.9399,pos
32,AF24M1HKIZ7QC,B007WTAJTO,"Abdulrahman J. Alrashed ""dr34m3r""","[0, 0]",bought sandisk gb microsd used galaxy note galaxy one phone started saying removed recognize diedi thought luck plugged nd one stayed month died suddenly lost buying sandisk ever,1,Bought 2 :) Died,1375488000,08-03-2013,640,0,0,-0.4404,neg
33,A1KIF9Z5VFPH7H,B007WTAJTO,"Abel Feliciano ""Ace Master""","[0, 0]",memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage,4,Excellent product.,1347321600,09-11-2012,759,0,0,0.9153,pos
34,A747BB4QM2SWW,B007WTAJTO,A. Bell,"[0, 0]",ive got couple varying size ive problem complaint speed always end buying price low get,5,several sizes. zero issues.,1376784000,18-08-2013,477,0,0,-0.7184,neg
35,A228CMRTDIS8S9,B007WTAJTO,A. Berrios,"[0, 0]",gig memory note running room much memory space available dont know,5,Great card,1399680000,05-10-2014,64,0,0,0,neg
36,A2OP1LOKO6P5W4,B007WTAJTO,Abe The Babe,"[0, 0]",bought surface pro ive month ive problem fast stable,5,Works great!,1375142400,30-07-2013,496,0,0,-0.128,neg
37,AKVRSGKPY2C4R,B007WTAJTO,Abhi gautam,"[1, 1]",would recommend card transfer speed excellent card galaxy didnt need format card anything satisfied,5,100% satisfied. Recommend to all.,1349568000,10-07-2012,881,1,1,0.8402,pos
38,A1FKE13D77L3Y3,B007WTAJTO,Abraham Arturo Meza Marin,"[0, 0]",bougth micro sd card got kingston tell sandisk quality best phone read gb fast transfer speed pc amazing looking additional storage phone music picture type file good quality material speedupdate one year memory damaged delete put new file format memory tried format phone pc camera nothing like gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better product future total buy samsung memory card expected better quality,1,Stop working after 1 year,1361232000,19-02-2013,657,0,0,0.9392,pos
39,A31SZHOH3EMTVF,B007WTAJTO,Abraham,"[0, 0]",using gps camera dont waste time buying brand waste buy best start,5,crazy fast,1376265600,08-12-2013,365,0,0,0.8344,pos
40,A3433V6H1NDFGP,B007WTAJTO,"Abraham Kovler ""ripvanlink""","[0, 0]",fantastic little drive gigabyte say work way use hold flac recording play excellent fiio x digital audio player real thing one fake,5,This is a fantastic little drive,1404864000,07-09-2014,92,0,0,0.765,pos
41,A27PGCCMGJSH3X,B007WTAJTO,Abram Vargas,"[0, 0]",happy micro sd could tell difference response time bb curve well asus tablet want something transfer file photo video music faster micro sd card say faster card price trick device professional photographer might want go ultra micro sd everyday user work wonder device,5,Verry happy,1344816000,13-08-2012,847,0,0,0.7351,pos
42,A28PQ9EX1MDCXP,B007WTAJTO,A. Brattoli,"[0, 0]",ive purchased several little baby year always buy sandisk ive never one fail price great amount storage get,5,SanDisk quality,1394409600,03-10-2014,66,0,0,0.7876,pos
43,A1X1FX3NSOFCT3,B007WTAJTO,"Abused Commuter ""abused_commuter""","[0, 1]",ordered galaxy lasted month broke accessible several different limited lifetime warranty b one month zone lose picture crappy return future buying kingston sandiskupdate amazon customer service made good refunded purchase price still buying sandisk memory card however,1,Beware... goes bad and takes your pics with it,1374278400,20-07-2013,506,0,1,-0.7506,neg
44,A3RV1L35IPTV61,B007WTAJTO,abushaheed,"[0, 0]",like mb note thats using sandisks app bit faster note ii still disappointment device quad core sure card device benefit doubt four star,4,Not bad,1357430400,01-06-2013,555,0,0,0.25,pos
45,A2RRKGVZR7YSNJ,B007WTAJTO,"A. Bystricky ""Tony B.""","[0, 0]",much say plug play good quality fit lot video good good good,5,good,1392595200,17-02-2014,294,0,0,0.9382,pos
46,AGX2K0FMS0IVL,B007WTAJTO,AC500Driver,"[0, 0]",new camcorder required fast sd micro sandisk product always provided first class service extra cost well worth,5,"Fast, very fast",1396483200,04-03-2014,279,0,0,0.4588,pos
47,A32WSJTH8ZWZC4,B007WTAJTO,"A. Carr ""game hater""","[0, 0]",tiny marvel claim possible problem small may lose happen drop handling gb capacity wont handling often,5,"Very small, huge capacity",1398729600,29-04-2014,223,0,0,-0.5719,neg
48,AQKJYY46WQWO7,B007WTAJTO,acballer,"[0, 0]",job price right came quickly im happy purchase would recommend would,5,Works great,1390089600,19-01-2014,323,0,0,0.7351,pos
49,A2RJ7DAL63MN1F,B007WTAJTO,Ace of Sevens,"[0, 0]",used month phone decided quit mounting lost picture died shortly got replacement card send old one giving chance recovering content new one worked fine failing month,2,Worked for a few months,1391126400,31-01-2014,311,0,0,-0.6124,neg
50,A7IRR3TLZK2C5,B007WTAJTO,ac,"[0, 0]",memory card either work doesnt always going one star five star review middle adapter nice bonus though dont think anything use,5,"It works, what else is there?",1374364800,21-07-2013,505,0,0,0.743,pos
51,AVVG2XSQM9W4C,B007WTAJTO,AC,"[0, 0]",purchased card use contourroam work great put card camera format good go allows easily record hour pfps video without running space slowing,5,Great MicroSDHC Card,1358121600,14-01-2013,693,0,0,0.8555,pos
52,AGA9831VH03YG,B007WTAJTO,A. Chock,"[0, 0]",upgraded gb gb card galaxy note phone look like work fine full capacity good product,5,Works fine in my Galaxy Note phone from AT&T,1356652800,28-12-2012,710,0,0,0.7351,pos
53,A3IJIFZ5HH819V,B007WTAJTO,A. Cho,"[0, 0]",everything great except adapter tight use tool take back adapter causing chip fault guess also bought gb version adapter one fine,4,Great but...,1373414400,07-10-2013,427,0,0,0.4939,pos
54,A1M1BDJBIS2KUJ,B007WTAJTO,a_compulsive_reader,"[0, 0]",liked first one purchased much bought second one fast read write speed good price plus sandisk best software device compatibility forget thumb drive flexible durable option use direct tablet smart phone andor buy decent usb card reader load voila instant thumb drive work great tablet newer card reader still butt every thumb drive know even used old plastic usb card reader held together tape lol purchased several microsd card since first came gb gb still work fine cannot say thumb drive purchased time point beware counterfeit samsung number one brand unfortunately get counterfeited lot check review buy reliable seller suggest buying direct amazon memory purchased issue,5,"Fast, reliable, compatible, buy it direct from Amazon or Memory Mogul to avoid counterfeits",1385164800,23-11-2013,380,0,0,0.9633,pos
55,A33S8906845ZOM,B007WTAJTO,acondie13,"[0, 0]",really cant say anything bad say super fast great storage size lot movie,5,Works as advertised with no problems whatsoever.,1394928000,16-03-2014,267,0,0,0.8968,pos
56,A1R0JMNRV7HVQM,B007WTAJTO,ACZ,"[0, 0]",used phone plenty fast work like unexpectedly come mini full sd card size adapter nice packaging whatever packaging decent shouldnt impossible mess messed,4,Works just like it should in my phone,1383609600,11-05-2013,576,0,0,0.8149,pos
57,AISPK12EZ1YKZ,B007WTAJTO,adam,"[0, 0]",standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper store believe,5,just the standard micro sd,1389139200,01-08-2014,129,0,0,0.5859,pos
58,A1Q0TKY4A5NBFW,B007WTAJTO,Adam J. Hanson,"[0, 0]",ordered new samsung galaxy note ii work awesome installed problem loaded music didnt even surface capacity card shouldnt ever worry running room card highly recommended smartphone user,5,Awesome micro sd card for smartphone.,1359244800,27-01-2013,680,0,0,0.7095,pos
59,A1839EV6FXY0KM,B007WTAJTO,"Adam J. Lomprey ""lompreya""","[0, 0]",great deal much faster file worth purchase sandisk proved good product,5,Awesome!!!,1377561600,27-08-2013,468,0,0,0.836,pos
60,AI1NJ92OUOM2V,B007WTAJTO,Adam M Barnes,"[0, 0]",youll pay anywhere else initially buying another sd card amazon year ago card fake said gig plugged computer could load onto would say full apparently there way fool computer thinking there space card one real deal genuine sandisk contains many gb say im pleased customer,5,Great product at a great price.,1392163200,02-12-2014,6,0,0,-0.4215,neg
61,A2GZ925MLB71YJ,B007WTAJTO,Adam M.,"[0, 0]",use samsung galaxy almost year problem really expands memory capability easy enough install,5,Works well with Samsung Galaxy S4,1405209600,13-07-2014,148,0,0,0.2895,pos
62,A6K6Z2V4TUVZ7,B007WTAJTO,adam smith,"[0, 0]",gb storage new asus tablet whats love cant imagine paying model upgraded storage especially since usually like thing cheap work great,5,Cheap and awesome.,1385424000,26-11-2013,377,0,0,0.9014,pos
63,A39H670PD32Z1X,B007WTAJTO,"Adam Sorenson ""Adam""","[0, 0]",excellent quality excellent speed complaint easy use reliable red stripe front make easy find desk,5,"excellent quality, excellent speed",1386806400,12-12-2013,361,0,0,0.9001,pos
64,APAEBFIM1588A,B007WTAJTO,"Adam Wright ""Electrical Engineer""","[1, 1]",card advertises uhs actually mean go necessary bad false advertising,3,only capable of doing DDR50/SDR50 max,1378684800,09-09-2013,455,1,1,-0.5423,neg
65,A28OTEB0YBEUC,B007WTAJTO,Adan Montiel,"[0, 0]",purchase hp tablet memory music download picture video enough room store memory left,5,HP tablet use,1391817600,02-08-2014,128,0,0,0,neg
66,A1U2KXV5DYXXUM,B007WTAJTO,Adanna,"[0, 0]",anything wrong sandisk product item read quickly quite happy,5,love it,1388707200,01-03-2014,282,0,0,0.2247,pos
67,A1OM05JSG2J1KB,B007WTAJTO,adavey,"[0, 0]",lot people want big memory fine need look speed class one class great taking picture video freeze move mb fast enough lesser speed card freeze say waiting camera miss moment also sandisk name trust come memory card,5,Great memory card!,1356048000,21-12-2012,717,0,0,0.8519,pos
68,A124DIYEKRO9EO,B007WTAJTO,Adeel Azhari,"[0, 0]",fast transfer rate downloaded gb video form card laptop card reader minute,5,fast transfer rates,1373155200,07-07-2013,519,0,0,0,neg
69,A6DF9OQYVGS8X,B007WTAJTO,adg44,"[0, 0]",something said sandisk plug work ive never one doa memory issue throughout year camera storage product installed galaxy siii recognized right away able dump music onto speed seems great well complaint,5,"It works, like all SanDisk memory products",1353888000,26-11-2012,742,0,0,0.6251,pos
70,AR4KV2Q28151J,B007WTAJTO,A discerning buyer,"[0, 1]",praise extra memory fill mp player every song heart sound quality perfect ease use superb great,5,"Good price, great product",1376956800,20-08-2013,475,0,1,0.9584,pos
71,A3C1GQH1ISWBE7,B007WTAJTO,Adrian,"[0, 0]",though state gig gig available know happens expected keep mind wanting storage might want order gig card exactly expected needed complaint,5,Just as described,1354752000,12-06-2012,909,0,0,-0.2263,neg
72,A2DWYIWF77NVSO,B007WTAJTO,Adrian,"[0, 0]",job need extra memory phonetablet whatever device,5,does the job.,1391990400,02-10-2014,67,0,0,0,neg
73,A3I2T1ILN5WKSD,B007WTAJTO,"Adrianne Ayres ""Sabrina""","[0, 0]",needed cell phone work perfectly sandisk never disappointment plus year ive work,5,SanDisk,1387152000,16-12-2013,357,0,0,0.7847,pos
74,A3RTEJFZK8KL5R,B007WTAJTO,A E D III,"[0, 0]",priced right memory card also read writes fast noticeable difference cheaper card put phone plan buy another one tablet,5,Good deal!,1381449600,10-11-2013,393,0,0,0,neg
75,A2KJY8F5O1U5D6,B007WTAJTO,A. Felson,"[1, 2]",work great sprint htc evo g lte formatted w fat course maximum file size gb meaning full length hidef movie however isnt problem bought card putting music library class microsdhc card mb closer class card ive ever tried mb kingston gb mb card wait till gb gb card become available affordable,5,works great with htc evo 4g lte,1350259200,15-10-2012,784,1,2,0.7475,pos
76,A1LP4NB5X34HF8,B007WTAJTO,A.Fenderson,"[3, 3]",update gb card stopped allowing writes via window inside several fullsize sd card adapter writeprotect tab either position plugged directly microsd slot reader microsd card writeprotect tab quite surprised worried failing find solution searching online finally put chromebook created new folder stuck back window pc longer gave writeprotect error anyone similar problem id recommend something similar putting pc laptop camera etc available try writing portion review necessarily written update original review gb version card since amazon multiple review consider item portion concern gb version cardi dont need fast card speed card important besides test pc exactly highend therefore didnt count speed result got using usb card adapter thought might relevant reader card reach class andor uhsi requirement came claimed read speed mb fast file transfer running second pc using different usb card reader none speed even hit mb seems highly got card week far work select sdxccompatible device exfatcompatible operating system sdxccompatible device panasonic allow card larger gb whatever reason stated manual ive confirmed card recognized device whereas gb exfat card work fine gb work fine original exfat formatting toshiba android tablet galaxy note though possibly would reformatted fat since gb card fat work fine update review reflect problem issue etc notice coming day c hiyohiyocrystal dew world url removed per amazon mb byte sata bytessequential read mbssequential write mbsrandom read kb mbsrandom write kb mbsrandom read kb qd mb iopsrandom write kb qd mb iopsrandom read kb qd mb iopsrandom write kb qd mb iopstest mb g gb xdate o window xp professional sp build following original review gb version card published april card ive used variety device multiple reader different pc hd camcorder using micro fullsized sd adapter ive never problem even work full capacity device reformatted fat sandisk clip flac player supposedly even psps via proper adapter though havent yet tested psp keep anticipating someone coming card equal better capacity speed comparable price havent seen one yet cheaper id several sure device handle micro fullsized sdxc card one rare gem state support high sdhc tested work sdxc card one theyve manually reformatted fat,5,"128 GB and 64 GB versions great, but can't confirm speed claims outside of the Class ratings",1366761600,24-04-2013,593,3,3,0.9052,pos
77,A2NN1KIYEM2SKS,B007WTAJTO,AF,"[0, 0]",work great phone wife love got second mom storing lot picture video,5,Works,1403395200,22-06-2014,169,0,0,0.8519,pos
78,A1B1F2MVZ2MZYJ,B007WTAJTO,A. Flores,"[0, 0]",loaded card home movie samsung galaxy tab copy process computer card fast skip movie quality plenty room left go wish bought another,5,Fast and Dependable,1359072000,25-01-2013,682,0,0,0.4019,pos
79,A13PWRAEW1WMG6,B007WTAJTO,A. Garcia,"[0, 0]",bought loaded season full length hd movie several dozen minute show plenty room left picture slight booting recovery mode recognize card wanted update phone latest version android would see resort gb microsd laying around wasnt sd card issue thought would throw,5,Great for movies on the go,1375056000,29-07-2013,497,0,0,0,neg
80,AJVGREW8IXDGC,B007WTAJTO,Agean2010,"[0, 0]",purchased wife bought samsung galaxy store music picture video camera capable capturing megapixels photo gb microsd matter fact ive already remaining space card gb allow take photo son,5,Great storage media,1389052800,01-07-2014,160,0,0,0.5574,pos
81,AEIILE1PUV2W,B007WTAJTO,Aggies82,"[0, 0]",great storage failed yet year usage,5,"Good, reliable storage for my Galaxy S4!",1404086400,30-06-2014,161,0,0,0.2023,pos
82,AY9S93OVP7MXD,B007WTAJTO,"A. Ghayyath ""AAG""","[0, 0]",since wife using causing problem must functioning normally look good far,5,"Wife is using, no complaints",1360108800,02-06-2013,554,0,0,0.0516,pos
83,A2C2LVTNNNPAMV,B007WTAJTO,A.G.,"[0, 0]",class speed way fly gb usable space think good,5,Fast and Full of Empty Space,1396742400,04-06-2014,187,0,0,0.4404,pos
84,A2EEM4XQKLPNRO,B007WTAJTO,"A. Gill ""Measure Twice, Cut Once""","[0, 0]",subject say supposed great price sale buy,5,Great price. Good Speed. Reliable.,1353974400,27-11-2012,741,0,0,0.6249,pos
85,A16PH8I60IGM4F,B007WTAJTO,A. GONZALEZ MEDINA,"[0, 0]",lot question memory card fitting samsung galaxy tab tablet fit work problem thing installing instead showing gb available show formatting card idea limit set galaxy tab tablet normal buy gb get le surely problem coming sandisk memory card rating star excellent price work great quick delivery,5,Works OK with the Samsung Galaxy Tab 3 10.1...,1392595200,17-02-2014,294,0,0,0.8316,pos
86,A39P69WIIWU2TI,B007WTAJTO,Agustin,"[0, 0]",come kind flash storage sandisk always go brand sell quality item stand there problem usual complaint work havent issue read write speed right spec say,5,Samsung Galaxy Tab 3 10.1,1395792000,26-03-2014,257,0,0,-0.128,neg
87,A388EEY36LRQNL,B007WTAJTO,Agustin Mangialavori,"[0, 0]",high speed high capacity storage great durability use phone digital camera work good,5,Great performance,1370908800,06-11-2013,397,0,0,0.7906,pos
88,AGQFB60B5A1E8,B007WTAJTO,A. Gutierrez,"[0, 0]",memory help keep want keep cell phoneit good brand right price,5,very useful,1398038400,21-04-2014,231,0,0,0.7096,pos
89,A1JOXGZH55JMHW,B007WTAJTO,A. Hejazi,"[0, 0]",bought sd card android phone thinking class faster reliable others turn difference class doesnt really matter least android phone didnt really worth price difference,4,class doesn't really matter at least for Android phones,1386806400,12-12-2013,361,0,0,-0.29,neg
90,A292JUY8KQV3EB,B007WTAJTO,A.,"[0, 0]",sandisk gb micro sd class reliable sd card amazing transfer speed noticeable lag transfering even largest raw image hadnt problem,5,Great product,1365811200,13-04-2013,604,0,0,0.5659,pos
91,A35NR2GQWMQ31K,B007WTAJTO,ahhsimon,"[0, 0]",good card work havent issue going pas metal lost file missing file,4,good,1391644800,02-06-2014,189,0,0,-0.1531,neg
92,ATZX92WLL9OK0,B007WTAJTO,Aileen Nguyen,"[0, 0]",bought store music phone work flawlessly three month far card reader average megabyte read write,5,"Good, Cheap Card.",1395792000,26-03-2014,257,0,0,0.2023,pos
93,A837QPVOZ9YAD,B007WTAJTO,Airedad,"[15, 21]",im amazed ordered amazon tuesday morning arrived mail impressive service already reported card format gb performs perfectly samsung galaxy iii also new using two card reader fast pc transferred everything old gb card new gb card le time took walk get cup think class rating correct experience card phone ill benchmark card ill also benchmark operation internally backing android phone card ill update review accurate data mean time first look person said problem anything faster class may correct full backup phone card significantly faster backup old gb class card benchmark yet ill include im happy card im really impressed card quick service amazon im shipment like one often take full day arrive,5,Very fast class 10 card - and excellent service from Amazon,1343174400,25-07-2012,866,15,21,0.8718,pos
94,A1PKJZRYCZFIGJ,B007WTAJTO,ajb03,"[0, 0]",excellent one best cant go wrong card class necessary show noticeable significant improvement class,5,great,1387756800,23-12-2013,350,0,0,0.9355,pos
95,AG7K6P2FN006,B007WTAJTO,ajb,"[4, 4]",bought gb microsd card best buy needed one microsoft surface pro provides space need people need lot space video quick book picture editing game etc card one dont need much space consider buying one cheaper little le memorynote aware microsdxc format card new computer support format many older computer includes tablet smartphones buying make sure computer tablet smartphone compatible work period others claim card doesnt work matter try chance machine cannot support microsdxc format,5,"Great Quality, Plenty of Memory",1364169600,25-03-2013,623,4,4,0.9157,pos
96,A1N7LGUPJWWQS9,B007WTAJTO,A.J. Matheson,"[0, 0]",got couldnt pas deal incredibly fast htc sensation g picture taken saved instantaneously day happy shipping fast packaging easy open always great book issue format computer first phone able recognize,4,Fantastic!,1353888000,26-11-2012,742,0,0,0.926,pos
97,A20MEC7JYD5U11,B007WTAJTO,A.J.O. From California,"[0, 0]",get lot storage small price micro sd adapter class fast happy purchase hope review helpful,5,Mucho Storage Poco Price!,1400889600,24-05-2014,198,0,0,0.8555,pos
98,ARMG4L2GLW25A,B007WTAJTO,A. J. Stavsky,"[0, 0]",ultra micro sdhc fine got working neither packaging sansa clip player inform user player need totally microcard inserted unit read card otherwise love storage even gb let alone tremendous,5,"Great item, but...user instructions could be better...",1385337600,25-11-2013,378,0,0,0.6124,pos
99,A1HXLQOYQB889P,B007WTAJTO,"AJZ ""~AZ""","[0, 0]",upgraded price dropped originally gig sandisk card mytouch g found toward mytouch g end life space running low got galaxy bought card work flawlessly highly recommend error ever super fast transfer rate,5,Huge storage!,1363219200,14-03-2013,634,0,0,0.5291,pos
100,A2CHQH95XQUY4E,B007WTAJTO,ak2012,"[0, 0]",item priced right fit right cell phone without issue suppose dont know else could say class suppose plenty fast cell phone use sure speed camera use degree worked well shipping fast,5,Sandisk Micro sd.,1366934400,26-04-2013,591,0,0,0.7096,pos
101,A2PZXXPGLXXKZU,B007WTAJTO,AK529,"[1, 1]",got memory card samsung galaxy running room sandisk gb class micro sd card also wanted faster durable card put lot medium addition nandroid backup custom rom later found since card formatted exfat would work make nandroid backup flash custom rom custom recovery custom rom dont work exfat choice format card fat meant couldnt put file larger gb besides card great reasonable price one doesnt root phone put custom rom nandroid backup put file larger gb affect memory card fast provides storage put mobile device time card also water proof shock proof come lifetime warranty ive never issue sandisk memory card usb flash drive last really long time,4,Very fast and lots of storage with one catch,1359936000,02-04-2013,615,1,1,0.3612,pos
102,A2V8LCUQZVJWTG,B007WTAJTO,A. Kaplan,"[0, 0]",using included adaptor macbook pro transfer file impressed speed card,5,Huge! Fast!,1389052800,01-07-2014,160,0,0,0.4767,pos
103,A22AJJ6SRS7F3D,B007WTAJTO,"A. Kenneth Webster ""Ken Webster""","[0, 0]",got store movie music samsung note much say memory card except work expected,5,Works in My Note III,1393977600,03-05-2014,219,0,0,0,neg
104,AJEOFP6ZWY0MK,B007WTAJTO,A. Kim,"[0, 0]",purchased version expand memory gb android tablet nothing fancy job problem played back flawlessly file many different microsd card see sale might want consider instead cheaper noname brand,5,Good for the money,1388620800,01-02-2014,310,0,0,0.794,pos
